Id,Label
1,Fluff
2,Fluff and Angst
3,Angst
4,Established Relationship
5,Hurt/Comfort
6,Romance
7,Domestic Fluff
8,Fluff and Smut
9,Smut
10,Light Angst
11,Angst with a Happy Ending
12,Emotional Hurt/Comfort
13,Alternate Universe
14,Alternate Universe - Canon Divergence
15,Bakugou Katsuki Swears A Lot
16,Bakugou Katsuki is Bad at Feelings
17,Protective Bakugou Katsuki
18,Other Additional Tags to Be Added
19,Aged-Up Character(s)
20,Slow Burn
21,Angst and Hurt/Comfort
22,Soft Bakugou Katsuki
23,Midoriya Izuku Needs A Hug
24,Not Beta Read
25,Canon-Typical Violence
26,Anal Sex
27,Alternate Universe - Everyone Lives/Nobody Dies
28,Plot What Plot/Porn Without Plot
29,Alternate Universe - College/University
30,Alternate Universe - Modern Setting
31,Friends to Lovers
32,Mutual Pining
33,Alternate Universe - High School
34,Getting Together
35,First Kiss
36,Getting Back Together
37,Pining
38,Love Confessions
39,Happy Ending
40,Humor
41,Drama
42,Eventual Romance
43,Romantic Fluff
44,Fluff and Humor
45,Comedy
46,Attempt at Humor
47,Crack
48,Friendship
49,Friendship/Love
50,Eventual Smut
51,Oral Sex
52,Blow Jobs
53,Shameless Smut
54,Anal Fingering
55,Rimming
56,Rough Sex
57,Dirty Talk
58,One Shot
59,Short One Shot
60,One Shot Collection
61,Identity Reveal
62,Secret Identity
63,Adrinette | Adrien Agreste/Marinette Dupain-Cheng
64,Ladynoir | Adrien Agreste as Chat Noir/Marinette Dupain-Cheng as Ladybug
65,Marichat | Adrien Agreste as Chat Noir/Marinette Dupain-Cheng
66,Ladrien | Adrien Agreste/Marinette Dupain-Cheng as Ladybug
67,Miraculous Ladybug Love Square
68,Marauders Era (Harry Potter)
69,Marauders
70,Marauders Friendship (Harry Potter)
71,Hogwarts
72,First Wizarding War with Voldemort (Harry Potter)
73,Drama & Romance
74,Post-Reichenbach
75,Post-Episode: s02e03 The Reichenbach Fall
76,Grief/Mourning
77,Reunions
78,First Time
79,Kissing
80,Fix-It
81,Cunnilingus
82,Vaginal Sex
83,Tony Stark Has A Heart
84,Tony Stark Acting as Peter Parker's Parental Figure
85,Tony Stark Needs a Hug
86,Parent Tony Stark
87,Peter Parker Needs a Hug
88,Protective Tony Stark
89,Precious Peter Parker
90,Hurt Tony Stark
91,Tony Stark Feels
92,Post-Captain America: The Winter Soldier
93,Post-Traumatic Stress Disorder - PTSD
94,Bucky Barnes Recovering
95,Bucky Barnes Feels
96,Bucky Barnes Needs a Hug
97,Pre-Serum Steve Rogers
98,Post-Serum Steve Rogers
99,Alternate Universe - No Powers
100,Pre-Captain America: The First Avenger
101,Artist Steve Rogers
102,Protective Bucky Barnes
103,Panic Attacks
104,Nightmares
105,Hand Jobs
106,Bisexual Lance (Voltron)
107,Gay Keith (Voltron)
108,Cuban Lance (Voltron)
109,Pining Keith (Voltron)
110,Pining Lance (Voltron)
111,Lance (Voltron) is a Mess
112,Keith (Voltron) is Bad at Feelings
113,Lance (Voltron) Angst
114,Hurt Lance (Voltron)
115,Keith/Lance (Voltron) Angst
116,Insecure Lance (Voltron)
117,Lance (Voltron)-centric
118,Wilbur Soot and Technoblade and TommyInnit are Siblings
119,Sleepy Bois Inc as Family
120,Parent Phil Watson (Video Blogging RPF)
121,Traumatized TommyInnit (Video Blogging RPF)
122,Older Sibling Wilbur Soot
123,Hurt No Comfort
124,Heavy Angst
125,Character Death
126,Emotional Hurt
127,Hurt
128,Sad Ending
129,Sleepy Bois Inc-centric
130,Sleepy Bois Inc Angst
131,Families of Choice
132,High School
133,Bottom Louis Tomlinson
134,Top Harry
135,Bottom Draco Malfoy
136,Top Harry Potter
137,Original Character(s)
138,Minor Original Character(s)
139,Poetry
140,Prose Poem
141,Bad Poetry
142,Love Poems
143,Free Verse
144,Love
145,Haiku
146,Original Fiction
147,Fantasy
148,Original Universe
149,Magic
150,Short
151,Alternate Universe - Fantasy
152,Alternate Universe - Magic
153,Alternate Universe - Merpeople
154,Witches
155,Curses
156,Crossover
157,Crossover Pairings
158,Crossovers & Fandom Fusions
159,Drabble
160,Drabble Collection
161,Double Drabble
162,Canon Era
163,Canon Compliant
164,Canon Universe
165,Polyamory
166,Threesome - M/M/M
167,Modern Era
168,Post-Squip Jeremy Heere
169,Post-Canon
170,Bisexual Jeremy Heere
171,Gay Michael Mell
172,Gay
173,Lesbian Character
174,Gay Male Character
175,Gay Sex
176,Silver Millennium Era
177,Crystal Tokyo Era
178,Shitennou
179,Pre-Canon
180,Reincarnation
181,Domestic
182,Tooth-Rotting Fluff
183,Songfic
184,Music
185,Song Lyrics
186,Singing
187,Recovery
188,Injury Recovery
189,Cheating
190,Infidelity
191,Implied/Referenced Cheating
192,Trauma
193,Psychological Trauma
194,Childhood Trauma
195,Enemies to Friends to Lovers
196,Case Fic
197,Violence
198,Murder
199,Minor Violence
200,Dom/sub
201,Spanking
202,Bondage
203,BDSM
204,Spoilers
205,Choking
206,Fix-It of Sorts
207,Time Travel Fix-It
208,Time Travel
209,Collars
210,Leashes
211,Praise Kink
